0,000	0,422
0,040	0,427
0,080	0,430
0,120	0,433
0,160	0,432
0,200	0,427
0,240	0,422
0,280	0,414
0,320	0,407
0,360	0,403
0,400	0,398
0,440	0,394
0,480	0,392
0,520	0,390
0,560	0,390
0,600	0,394
0,640	0,398
0,680	0,398
0,720	0,403
0,760	0,406
0,800	0,407
0,840	0,407
0,880	0,407
0,920	0,407
0,960	0,407
1,000	0,407
1,040	0,404
1,080	0,400
1,120	0,398
1,160	0,398
1,200	0,398
1,240	0,399
1,280	0,399
1,320	0,397
1,360	0,403
1,400	0,401
1,440	0,400
1,480	0,403
1,520	0,403
1,560	0,404
1,600	0,406
1,640	0,407
1,680	0,407
1,720	0,407
1,760	0,406
1,800	0,405
1,840	0,403
1,880	0,403
1,920	0,403
1,960	0,403
2,000	0,403
2,040	0,403
2,080	0,405
2,120	0,404
2,160	0,404
2,200	0,404
2,240	0,406
2,280	0,408
2,320	0,408
2,360	0,408
2,400	0,408
2,440	0,403
2,480	0,406
2,520	0,406
2,560	0,404
2,600	0,404
2,640	0,404
2,680	0,404
2,720	0,406
2,760	0,404
2,800	0,403
2,840	0,403
2,880	0,399
2,920	0,401
2,960	0,401
3,000	0,401
3,040	0,401
3,080	0,400
3,120	0,403
3,160	0,403
3,200	0,403
3,240	0,401
3,280	0,400
3,320	0,400
3,360	0,400
3,400	0,400
3,440	0,400
3,480	0,400
3,520	0,403
3,560	0,403
3,600	0,403
3,640	0,403
3,680	0,403
3,720	0,403
3,760	0,403
3,800	0,399
3,840	0,399
3,880	0,401
3,920	0,399
3,960	0,399
4,000	0,399
4,040	0,399
4,080	0,404
4,120	0,404
4,160	0,405
4,200	0,411
4,240	0,407
4,280	0,407
4,320	0,414
4,360	0,409
4,400	0,409
4,440	0,409
4,480	0,408
4,520	0,408
4,560	0,405
4,600	0,406
4,640	0,403
4,680	0,403
4,720	0,399
4,760	0,400
4,800	0,398
4,840	0,398
4,880	0,400
4,920	0,400
4,960	0,400
5,000	0,403
5,040	0,404
5,080	0,406
5,120	0,403
5,160	0,407
5,200	0,407
5,240	0,404
5,280	0,404
5,320	0,400
5,360	0,400
5,400	0,397
5,440	0,397
5,480	0,395
5,520	0,395
5,560	0,395
5,600	0,395
5,640	0,395
5,680	0,395
5,720	0,398
